word,url,width,height
spectre,http://media3.giphy.com/media/13n5Uvy1Hxo8Uw/200_d.gif,250,170
is,http://media0.giphy.com/media/XJB8C8UHXFSBG/200_d.gif,400,225
haunting,http://media1.giphy.com/media/uhQi7doyodXMs/200_d.gif,500,281
europe,http://media0.giphy.com/media/w3K0P8bDYFV7i/200_d.gif,240,180
communism,http://media0.giphy.com/media/dwLw9DlqI2p1K/200_d.gif,1024,768
all,http://media0.giphy.com/media/1P9TkfMLAXuuY/200_d.gif,289,300
powers,http://media0.giphy.com/media/NoahyHcaylyjC/200_d.gif,310,165
old,http://media0.giphy.com/media/lzd8xQLG9ks8M/200_d.gif,324,200
have,http://media0.giphy.com/media/IaUmOiaquwjU4/200_d.gif,310,275
entered,http://media0.giphy.com/media/11m1Ny28gk7Y8o/200_d.gif,300,280
into,http://media0.giphy.com/media/14oWGhudXABkUE/200_d.gif,320,180
holy,http://media0.giphy.com/media/dfGL1IJvAip2g/200_d.gif,512,288
alliance,http://media2.giphy.com/media/IlXNjKZuZcxeE/200_d.gif,500,260
to,http://media0.giphy.com/media/yegGQEaRjq46Y/200_d.gif,501,351
exorcise,http://media0.giphy.com/media/gI0TDpCRPcz16/200_d.gif,245,245
this,http://media0.giphy.com/media/FGZrnyHBzAExO/200_d.gif,245,245
pope,http://media0.giphy.com/media/PyNxbkVck3NGE/200_d.gif,450,322
tsar,http://media0.giphy.com/media/7IFffVcd01oIw/200_d.gif,320,240
metternich,none,,
guizot,none,,
french,http://media0.giphy.com/media/neN3U6d9p7C80/200_d.gif,810,344
radicals,http://media0.giphy.com/media/AHu7dOP93gSwo/200_d.gif,350,200
german,http://media0.giphy.com/media/J75VxKT6dqzLi/200_d.gif,320,180
police-spies,none,,
where,http://media0.giphy.com/media/Ax5JC0DIz0mtO/200_d.gif,245,138
party,http://media2.giphy.com/media/fJSH43HV8CPQI/200_d.gif,400,319
in,http://media0.giphy.com/media/uOnskxcEiRV0A/200_d.gif,600,338
opposition,http://media0.giphy.com/media/GTWdcRWbRfnWw/200_d.gif,420,237
that,http://media0.giphy.com/media/RmSBMHykhJoac/200_d.gif,350,263
has,http://media0.giphy.com/media/MhBb7NsV5MUgg/200_d.gif,288,199
not,http://media0.giphy.com/media/WtU2tifQAfyms/200_d.gif,296,158
been,http://media0.giphy.com/media/BtLnaaYdMMETK/200_d.gif,521,333
decried,none,,
as,http://media0.giphy.com/media/GybHRMiucF9Ys/200_d.gif,500,281
communistic,none,,
by,http://media0.giphy.com/media/CrEdZ86GGn0o8/200_d.gif,800,600
its,http://media0.giphy.com/media/coIuqdmGe7hKM/200_d.gif,260,146
opponents,http://media0.giphy.com/media/UjIM5yMbVNODu/200_d.gif,213,160
power,http://media0.giphy.com/media/s4quZuY9qkIH6/200_d.gif,400,225
hurled,http://media0.giphy.com/media/11aa0Dj0fpUw0g/200_d.gif,245,245
back,http://media0.giphy.com/media/cFKOusR6hUILu/200_d.gif,354,188
branding,http://media1.giphy.com/media/WqfFXz7phmKAg/200_d.gif,500,500
reproach,none,,
against,http://media0.giphy.com/media/u5fJ9wlxKE3lu/200_d.gif,500,280
more,http://media0.giphy.com/media/ZQDPl01polqDK/200_d.gif,367,275
advanced,http://media0.giphy.com/media/KIivDy1Ss8hnG/200_d.gif,256,138
parties,http://media2.giphy.com/media/fJSH43HV8CPQI/200_d.gif,400,319
well,http://media0.giphy.com/media/fAKVNv93KjY9W/200_d.gif,500,457
reactionary,none,,
adversaries,http://media0.giphy.com/media/1pFCn8iACNRCw/200_d.gif,400,309
two,http://media0.giphy.com/media/6MnVLKU48Nuxi/200_d.gif,500,333
things,http://media0.giphy.com/media/MEx427JcGghXi/200_d.gif,420,530
result,http://media3.giphy.com/media/45g1HcOqTUOKA/200_d.gif,370,227
from,http://media0.giphy.com/media/72UnCE6AFcFBS/200_d.gif,540,300
fact,http://media0.giphy.com/media/cZWM0y3uUd6wg/200_d.gif,456,355
i,http://media0.giphy.com/media/MqHdl0g2cfKCc/200_d.gif,500,375
already,http://media0.giphy.com/media/QtfzOVPuVkOEo/200_d.gif,245,137
acknowledged,http://media0.giphy.com/media/3Hsz203PV0xaw/200_d.gif,500,206
european,http://media3.giphy.com/media/jrD1AZCFaYoBa/200_d.gif,245,147
be,http://media0.giphy.com/media/rlRiMDRtmkk3m/200_d.gif,501,351
itself,http://media0.giphy.com/media/U87tjwulTBG92/200_d.gif,642,361
ii,http://media0.giphy.com/media/E1MTLQN0vFac8/200_d.gif,400,317
it,http://media0.giphy.com/media/11quUfMQwVIoCY/200_d.gif,392,180
high,http://media0.giphy.com/media/Re3FWlcUnLedG/200_d.gif,234,148
time,http://media0.giphy.com/media/VMFvRGcz9C87K/200_d.gif,800,329
communists,http://media0.giphy.com/media/12ahDK9IVBKE4E/200_d.gif,400,300
should,http://media0.giphy.com/media/itszLRxoksfrq/200_d.gif,500,222
openly,http://media0.giphy.com/media/gxp7sI8uXXr68/200_d.gif,500,221
face,http://media0.giphy.com/media/12JcczXH0YW0wg/200_d.gif,320,180
whole,http://media0.giphy.com/media/1215PFxV6m0f5K/200_d.gif,350,224
world,http://media0.giphy.com/media/DtrVgAY8gWRRC/200_d.gif,350,190
publish,http://media0.giphy.com/media/yGk1yTvIbyNMY/200_d.gif,500,281
their,http://media0.giphy.com/media/vaMwoO0nlRlok/200_d.gif,306,197
views,http://media0.giphy.com/media/ctozGeM1XZCw0/200_d.gif,250,141
aims,http://media0.giphy.com/media/Rm89UZhMrBRss/200_d.gif,427,240
tendencies,http://media0.giphy.com/media/sy6doQuUEcMQ8/200_d.gif,500,269
meet,http://media0.giphy.com/media/RTI5in6axJB04/200_d.gif,338,332
nursery,http://media0.giphy.com/media/XLX7nIlG6pq/200_d.gif,720,404
tale,http://media0.giphy.com/media/2lzRktEu60SJy/200_d.gif,360,360
with,http://media0.giphy.com/media/8bRP0RJpTfdC0/200_d.gif,192,341
manifesto,http://media0.giphy.com/media/VdFaiqqMewKNa/200_d.gif,500,600
various,http://media0.giphy.com/media/l4lQ2Xic2GRws/200_d.gif,245,200
nationalities,http://media0.giphy.com/media/NlfWenIky8CiI/200_d.gif,500,352
assembled,http://media0.giphy.com/media/UStwRb2kx6Qo/200_d.gif,320,240
london,http://media0.giphy.com/media/FgTNOoaeMjdja/200_d.gif,500,245
sketched,http://media0.giphy.com/media/UVHOn3gnwq7Bu/200_d.gif,300,147
following,http://media0.giphy.com/media/anURybroTrHz2/200_d.gif,500,281
published,http://media0.giphy.com/media/M0I77gB967pq8/200_d.gif,245,152
english,http://media0.giphy.com/media/CtpGbb7utn61i/200_d.gif,192,144
italian,http://media0.giphy.com/media/k37VXqbF3FNjq/200_d.gif,328,180
flemish,http://media0.giphy.com/media/Te6yqrUrJxhQY/200_d.gif,500,670
danish,http://media0.giphy.com/media/o75no0njthb4Q/200_d.gif,444,250
languages,http://media0.giphy.com/media/6eA9Zh42MyhTW/200_d.gif,391,282
bourgeois,http://media0.giphy.com/media/v6MYBEjErQe40/200_d.gif,245,334
proletarians,none,,
[1],http://media0.giphy.com/media/EgpGbVKp3K956/200_d.gif,500,281
history,http://media0.giphy.com/media/Te6yqrUrJxhQY/200_d.gif,500,670
hitherto,none,,
existing,http://media0.giphy.com/media/z8ok7ppKsQKpq/200_d.gif,320,240
society,http://media0.giphy.com/media/OpBtAKGVsDJPa/200_d.gif,420,350
[2],http://media0.giphy.com/media/EgpGbVKp3K956/200_d.gif,500,281
class,http://media0.giphy.com/media/o8KxrbAvNVW0M/200_d.gif,250,197
struggles,http://media0.giphy.com/media/gpwSbwpGN5sDS/200_d.gif,260,146
freeman,http://media0.giphy.com/media/HGz0dL1cvTZHG/200_d.gif,476,705
slave,http://media0.giphy.com/media/loUivFyEJk3bq/200_d.gif,350,272
patrician,none,,
plebian,none,,
lord,http://media0.giphy.com/media/lFNp7pOTuUavm/200_d.gif,370,370
serf,http://media0.giphy.com/media/A8yWuVpDfatJC/200_d.gif,500,250
guild-master,none,,
[3],http://media0.giphy.com/media/AZ8s9j87oQVvq/200_d.gif,400,225
journeyman,http://media0.giphy.com/media/UlguklyFYGHkI/200_d.gif,500,500
word,http://media0.giphy.com/media/91iaMH4lsjlDO/200_d.gif,320,240
oppressor,http://media3.giphy.com/media/D3waNGeNeBlPW/200_d.gif,900,776
oppressed,http://media1.giphy.com/media/z8ueKUUq1S23u/200_d.gif,245,157
stood,http://media0.giphy.com/media/5yto1G9KwIYow/200_d.gif,250,195
constant,http://media0.giphy.com/media/ZyPGY5gSycMYU/200_d.gif,344,328
one,http://media0.giphy.com/media/N46qE5xwDbJeg/200_d.gif,400,225
another,http://media2.giphy.com/media/12L2pbbtcTxKYo/200_d.gif,500,180
carried,http://media0.giphy.com/media/zJzMKU4dGlNEQ/200_d.gif,280,373
on,http://media0.giphy.com/media/Rl913d2TO2DC0/200_d.gif,344,236
uninterrupted,http://media0.giphy.com/media/sgDewYSaCg0g0/200_d.gif,245,145
now,http://media0.giphy.com/media/pbLsYOls6SygE/200_d.gif,433,386
hidden,http://media0.giphy.com/media/11Hid00JjX2ql2/200_d.gif,310,233
open,http://media0.giphy.com/media/nFwbEM2IinJ7O/200_d.gif,245,245
fight,http://media0.giphy.com/media/Sl1lKFZEI4xgY/200_d.gif,500,251
each,http://media0.giphy.com/media/OyJhCBqW1Wv6g/200_d.gif,245,367
ended,http://media0.giphy.com/media/itszLRxoksfrq/200_d.gif,500,222
either,http://media0.giphy.com/media/jb6IOwMXZjLuE/200_d.gif,499,281
revolutionary,http://media0.giphy.com/media/126dmD9ruNWSPe/200_d.gif,245,138
reconstitution,none,,
at,http://media0.giphy.com/media/digGgjHv7IHEQ/200_d.gif,540,310
large,http://media0.giphy.com/media/EJIFaXV55556M/200_d.gif,358,306
or,http://media0.giphy.com/media/E9aeEzxqPdP3O/200_d.gif,180,240
common,http://media0.giphy.com/media/ZYVmG4DVPB4yc/200_d.gif,500,248
ruin,http://media0.giphy.com/media/q2hzOL5sXgGNa/200_d.gif,460,258
contending,none,,
classes,http://media0.giphy.com/media/odhu1upQGmmNq/200_d.gif,245,220
earlier,http://media0.giphy.com/media/2O9T58fk4xnOg/200_d.gif,500,281
epochs,http://media0.giphy.com/media/HUMF0EpoV78Gs/200_d.gif,500,329
we,http://media0.giphy.com/media/120TIgATXItmik/200_d.gif,400,225
find,http://media0.giphy.com/media/uS04uLfeMJP4A/200_d.gif,500,175
almost,http://media0.giphy.com/media/dQJGJqjiMqsk8/200_d.gif,250,248
everywhere,http://media0.giphy.com/media/HmRlvneztelQk/200_d.gif,323,240
complicated,http://media0.giphy.com/media/114sCn7wiOhY0U/200_d.gif,500,250
arrangement,http://media0.giphy.com/media/UStwRb2kx6Qo/200_d.gif,320,240
orders,http://media0.giphy.com/media/Zn30X8XAI0dQQ/200_d.gif,400,225
manifold,http://media0.giphy.com/media/AvCPKNLbH6FoI/200_d.gif,256,256
gradation,none,,
social,http://media0.giphy.com/media/zAPqZTelZzvyM/200_d.gif,500,500
rank,http://media0.giphy.com/media/yKvkOJUeTPOrm/200_d.gif,260,173
ancient,http://media0.giphy.com/media/hupcJOye3CWm4/200_d.gif,350,322
rome,http://media0.giphy.com/media/jB3pNgI4uiQXm/200_d.gif,444,245
patricians,none,,
knights,http://media0.giphy.com/media/Zt35SkXevwvaE/200_d.gif,350,495
plebians,none,,
slaves,http://media0.giphy.com/media/loUivFyEJk3bq/200_d.gif,350,272
middle,http://media0.giphy.com/media/YN0xPCXFnbD2M/200_d.gif,500,325
ages,http://media0.giphy.com/media/6yOALvsL1yUmI/200_d.gif,245,300
feudal,http://media0.giphy.com/media/22YULiYbvzNYY/200_d.gif,500,375
lords,http://media0.giphy.com/media/lFNp7pOTuUavm/200_d.gif,370,370
vassals,none,,
guild-masters,none,,
journeymen,none,,
apprentices,http://media0.giphy.com/media/DlJPwIiyBR408/200_d.gif,245,188
serfs,http://media0.giphy.com/media/A8yWuVpDfatJC/200_d.gif,500,250
these,http://media0.giphy.com/media/Yjqi9sCClfdde/200_d.gif,320,240
again,http://media0.giphy.com/media/gnPDAcTBY8Ze8/200_d.gif,320,180
subordinate,http://media0.giphy.com/media/1465qAXCqhfDNK/200_d.gif,400,180
gradations,none,,
modern,http://media3.giphy.com/media/nHgqEPvg9rkIg/200_d.gif,300,225
sprouted,http://media0.giphy.com/media/1i5mvOrHUBqRa/200_d.gif,440,313
ruins,http://media0.giphy.com/media/q2hzOL5sXgGNa/200_d.gif,460,258
done,http://media0.giphy.com/media/p71EgeZr4GLPq/200_d.gif,320,180
away,http://media0.giphy.com/media/ScFDFcqMubZgA/200_d.gif,300,225
antagonisms,http://media0.giphy.com/media/MoeJR8ATmIUoM/200_d.gif,450,253
but,http://media0.giphy.com/media/8nrOyIS0wIBGw/200_d.gif,500,148
established,http://media0.giphy.com/media/zGx62c88bCDN6/200_d.gif,245,200
new,http://media0.giphy.com/media/1a6hh1IMvcZck/200_d.gif,400,224
conditions,http://media0.giphy.com/media/YZCRQkIoD2W2Y/200_d.gif,400,235
oppression,http://media0.giphy.com/media/gLNeCmaqamCSA/200_d.gif,350,196
forms,http://media0.giphy.com/media/7DpUfl51YUwN2/200_d.gif,270,267
struggle,http://media0.giphy.com/media/gpwSbwpGN5sDS/200_d.gif,260,146
place,http://media2.giphy.com/media/gm3zIOjEHnjJm/200_d.gif,330,303
ones,http://media0.giphy.com/media/11VmTsQmKXcuac/200_d.gif,408,210
our,http://media0.giphy.com/media/A8ZHyt378BHaM/200_d.gif,564,304
epoch,http://media0.giphy.com/media/HUMF0EpoV78Gs/200_d.gif,500,329
bourgeoisie,none,,
possesses,http://media0.giphy.com/media/b5ufxn85A6j7i/200_d.gif,253,190
however,http://media0.giphy.com/media/psre8Wq1FQ5ri/200_d.gif,300,225
distinct,http://media0.giphy.com/media/bjyoJmSwyyNUs/200_d.gif,489,250
feature,http://media3.giphy.com/media/BDhh1US055uog/200_d.gif,280,296
simplified,http://media0.giphy.com/media/12SejmcuzJ4QKY/200_d.gif,500,600
splitting,http://media0.giphy.com/media/mZ0hdjYUbnZn2/200_d.gif,500,281
up,http://media0.giphy.com/media/aT4QNAdXKwErm/200_d.gif,320,180
great,http://media0.giphy.com/media/y7Ih8ZVGFgXv2/200_d.gif,480,270
hostile,http://media0.giphy.com/media/WZMEjSmReK1Qk/200_d.gif,500,282
camps,http://media0.giphy.com/media/hRhxkg8vJz70c/200_d.gif,260,146
directly,http://media0.giphy.com/media/Flt1KxGoKRWog/200_d.gif,500,500
facing,http://media0.giphy.com/media/3oVTxhpsvavDO/200_d.gif,337,219
other,http://media0.giphy.com/media/XfwvxRdjpxy2k/200_d.gif,500,281
proletariat,none,,
sprang,http://media0.giphy.com/media/khcaqqHM9h3G0/200_d.gif,390,231
chartered,none,,
burghers,none,,
earliest,http://media0.giphy.com/media/cKJnTbqAo0p6E/200_d.gif,500,200
towns,http://media0.giphy.com/media/o1WnwHgUPGbD2/200_d.gif,500,280
burgesses,http://media0.giphy.com/media/wXc5dyajL49gc/200_d.gif,500,244
first,http://media0.giphy.com/media/caXdBCh6UPlpS/200_d.gif,256,192
elements,http://media0.giphy.com/media/lKPFZ1nPKW8c8/200_d.gif,500,206
were,http://media0.giphy.com/media/TDjBV2JYAIXeg/200_d.gif,310,174
developed,http://media0.giphy.com/media/vV0arHQScnxMk/200_d.gif,500,289
discovery,http://media0.giphy.com/media/azyApT2abEt1u/200_d.gif,377,212
america,http://media0.giphy.com/media/sISINstAdRMKQ/200_d.gif,420,217
rounding,http://media0.giphy.com/media/XlErpz3ijbKLe/200_d.gif,242,295
cape,http://media0.giphy.com/media/ZuiX4CT8JmVOw/200_d.gif,450,462
opened,http://media0.giphy.com/media/fdYMfMIJpSytO/200_d.gif,500,365
fresh,http://media0.giphy.com/media/VDUWJe54wJLgc/200_d.gif,707,300
ground,http://media0.giphy.com/media/12qKsHF4WGyDYc/200_d.gif,400,225
for,http://media0.giphy.com/media/1HrAhvRFbjKr6/200_d.gif,337,190
rising,http://media0.giphy.com/media/Q1XdkTTSItfyM/200_d.gif,300,251
east-indian,none,,
chinese,http://media0.giphy.com/media/sdPCg22mV1W7u/200_d.gif,260,146
markets,http://media0.giphy.com/media/wn4gfI5YaAXMQ/200_d.gif,853,480
colonisation,none,,
trade,http://media1.giphy.com/media/XJ2XEPmYNHEWs/200_d.gif,500,212
colonies,http://media0.giphy.com/media/DUVTEcFkglJ4Y/200_d.gif,256,192
increase,http://media0.giphy.com/media/6jihsfgvEZx9m/200_d.gif,500,214
means,http://media2.giphy.com/media/oxtHJvL6UCDvi/200_d.gif,500,220
exchange,http://media2.giphy.com/media/qmJsjUaOEIkKI/200_d.gif,480,396
commodities,http://media2.giphy.com/media/lnPp8iKecXrNe/200_d.gif,500,194
generally,http://media0.giphy.com/media/S8WkhbVPNlcJy/200_d.gif,313,167
gave,http://media0.giphy.com/media/TNlI1kk2OJLEs/200_d.gif,300,200
commerce,http://media0.giphy.com/media/VlQ6BYTht7nTq/200_d.gif,350,319
navigation,http://media0.giphy.com/media/S0USRWcuNSRmU/200_d.gif,500,418
industry,http://media0.giphy.com/media/t3YUrp2v9elLa/200_d.gif,450,171
impulse,http://media0.giphy.com/media/lJiQutUmJwaSQ/200_d.gif,490,215
never,http://media0.giphy.com/media/SXcgjAPQnWOhW/200_d.gif,500,281
before,http://media0.giphy.com/media/oBA7ZwMmVy7pm/200_d.gif,256,192
known,http://media0.giphy.com/media/wlAI7tTsw981G/200_d.gif,400,254
thereby,http://media0.giphy.com/media/1MqP84LhKu4GQ/200_d.gif,500,375
element,http://media0.giphy.com/media/Z47irudLxQqw8/200_d.gif,500,206
tottering,none,,
rapid,http://media0.giphy.com/media/Xr6zTpOLSmbsY/200_d.gif,460,640
development,http://media0.giphy.com/media/mRt9QIdFSFvdC/200_d.gif,500,230
system,http://media0.giphy.com/media/aLaZezuimoEsU/200_d.gif,280,210
which,http://media0.giphy.com/media/zLwbIPZvg3hcc/200_d.gif,294,233
industrial,http://media0.giphy.com/media/gs8tE3tbj9Uk0/200_d.gif,360,360
production,http://media1.giphy.com/media/Sgj9HKdIfyZXy/200_d.gif,499,296
was,http://media0.giphy.com/media/PzzxiNULZbSRW/200_d.gif,371,217
monopolized,none,,
closed,http://media0.giphy.com/media/LJKqGcKIAMU1y/200_d.gif,500,221
guilds,http://media0.giphy.com/media/sdt7fJPn9q2MU/200_d.gif,300,169
no,http://media0.giphy.com/media/j8HXOKONErVp6/200_d.gif,350,197
longer,http://media0.giphy.com/media/N8BejzVtqZiso/200_d.gif,470,262
suffices,http://media0.giphy.com/media/vMkdbTuJzLDlS/200_d.gif,300,201
growing,http://media0.giphy.com/media/ctjI43nP6bBTO/200_d.gif,400,230
wants,http://media0.giphy.com/media/yooiGYxcTuUg0/200_d.gif,320,266
manufacturing,http://media0.giphy.com/media/H1MEZrTnzKmPK/200_d.gif,500,363
took,http://media0.giphy.com/media/UN8h3iCE2obsI/200_d.gif,480,314
pushed,http://media0.giphy.com/media/SUlpLMhmL3Q3u/200_d.gif,349,233
aside,http://media0.giphy.com/media/10Taul4zIVx292/200_d.gif,500,281
division,http://media0.giphy.com/media/VHIgsjsNp8r7O/200_d.gif,305,500
labor,http://media0.giphy.com/media/t3YUrp2v9elLa/200_d.gif,450,171
between,http://media0.giphy.com/media/Os5ghqjD1uIq4/200_d.gif,320,240
different,http://media0.giphy.com/media/MGQLNhnKlPJBu/200_d.gif,400,225
corporate,http://media0.giphy.com/media/iCANtIWRwMWvS/200_d.gif,500,281
vanished,http://media0.giphy.com/media/zc1JNCgBXCa88/200_d.gif,500,340
single,http://media0.giphy.com/media/rVUvL9orXqFi/200_d.gif,250,145
workshop,http://media0.giphy.com/media/1YMRUG3UPO6eA/200_d.gif,320,180
meantime,http://media0.giphy.com/media/5NN2ocLulcVSo/200_d.gif,500,268
kept,http://media0.giphy.com/media/117OHeNnpFyQU/200_d.gif,500,384
ever,http://media0.giphy.com/media/Q36acUKhXYWEU/200_d.gif,245,300
demand,http://media0.giphy.com/media/sZn9IDozfRlGo/200_d.gif,420,350
even,http://media0.giphy.com/media/EQJektLNLcFry/200_d.gif,351,263
manufacturers,http://media0.giphy.com/media/wfSDsPrh0OTiU/200_d.gif,690,200
sufficed,none,,
thereupon,none,,
steam,http://media0.giphy.com/media/1436WFwsK5qXXa/200_d.gif,300,225
machinery,http://media0.giphy.com/media/S35GDqfJeiHwA/200_d.gif,450,180
revolutionized,http://media0.giphy.com/media/105Fa9BoG0nntm/200_d.gif,698,744
manufacture,http://media0.giphy.com/media/vZFVjE7gpzjiw/200_d.gif,400,221
taken,http://media0.giphy.com/media/ZIkvylOzjuXG8/200_d.gif,250,250
giant,http://media0.giphy.com/media/gsLU5m15STHoY/200_d.gif,320,180
millionaires,http://media3.giphy.com/media/NlZkblRs9Y4sU/200_d.gif,450,519
leaders,http://media0.giphy.com/media/kBi6eeVUEw4xO/200_d.gif,480,204
armies,http://media0.giphy.com/media/ikZaSfrRktfAk/200_d.gif,320,180
market,http://media0.giphy.com/media/wn4gfI5YaAXMQ/200_d.gif,853,480
paved,http://media0.giphy.com/media/m3jzJdwFns9kk/200_d.gif,245,175
way,http://media0.giphy.com/media/jxXRawnmmaBGM/200_d.gif,500,288
given,http://media0.giphy.com/media/kQWdjx4mAZevK/200_d.gif,400,194
immense,http://media0.giphy.com/media/GrIJGchwt9mso/200_d.gif,500,287
communication,http://media0.giphy.com/media/W9oSUC3qdhnR6/200_d.gif,172,212
land,http://media0.giphy.com/media/NfrK6dnPjODEQ/200_d.gif,500,114
turn,http://media0.giphy.com/media/2xMcgODfTQccU/200_d.gif,443,222
reacted,http://media0.giphy.com/media/13Qm8ehPbv0mZi/200_d.gif,349,233
extension,http://media0.giphy.com/media/5OFXnQ8tamwhi/200_d.gif,640,360
proportion,http://media0.giphy.com/media/fP33cfbOiH00U/200_d.gif,276,225
railways,http://media0.giphy.com/media/7TRxtxhiwiOlO/200_d.gif,600,400
extended,http://media0.giphy.com/media/EaNX0fjxLAFLa/200_d.gif,246,246
same,http://media0.giphy.com/media/VuJM9y1RPs1RS/200_d.gif,325,436
increased,http://media0.giphy.com/media/XXM29ccPerhxm/200_d.gif,472,361
capital,http://media0.giphy.com/media/EwJXl8SKvN2MM/200_d.gif,320,180
background,http://media0.giphy.com/media/n0MbN0GDoSqK4/200_d.gif,300,600
every,http://media0.giphy.com/media/JGtc3NO6tbYGI/200_d.gif,300,177
handed,http://media0.giphy.com/media/EAFo0jDdYFmmY/200_d.gif,300,169
down,http://media1.giphy.com/media/CMRWlA55AYLpS/200_d.gif,500,270
see,http://media0.giphy.com/media/nYIy3e4n6AAp2/200_d.gif,400,225
therefore,http://media0.giphy.com/media/Awycb03NuzOo0/200_d.gif,245,300
how,http://media0.giphy.com/media/yegGQEaRjq46Y/200_d.gif,501,351
product,http://media0.giphy.com/media/dx7Mh3xrcA6Vq/200_d.gif,300,210
long,http://media0.giphy.com/media/FbPsiH5HTH1Di/200_d.gif,275,255
course,http://media0.giphy.com/media/RWSWxKREvPbKo/200_d.gif,460,334
series,http://media0.giphy.com/media/1hrhORMKYPO9y/200_d.gif,400,226
revolutions,http://media0.giphy.com/media/UDiYKr38WPXZ6/200_d.gif,500,278
modes,http://media0.giphy.com/media/oy1qv5UMDwFH2/200_d.gif,320,218
step,http://media0.giphy.com/media/IA1jHpQHy27YI/200_d.gif,280,210
accompanied,http://media0.giphy.com/media/XwPWqTlyy551S/200_d.gif,500,430
corresponding,http://media1.giphy.com/media/DOyoCmR7sCxHy/200_d.gif,500,500
political,http://media0.giphy.com/media/xDXphovxoLrc4/200_d.gif,500,300
advance,http://media0.giphy.com/media/A6BWyePP3uBEs/200_d.gif,500,257
under,http://media0.giphy.com/media/pe84NK4wz3rz2/200_d.gif,360,360
sway,http://media0.giphy.com/media/2ZMeWCdEpS57q/200_d.gif,500,270
